value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex
1476620802426931073,0xbee364545d1db947925f304303e7515cd319d095cebd9f64f2a261292ca05138,17450321,223956,0x6acb34b1df86e254b544189ec32cf737e2482058,163591,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,222942,1010000000,163591,0xb657ab786eae0055e2c85bbde6bd05664a9d942bea21c3b6f9cfee0397ce775e,0x4000aea0000000000000000000000000a3c59198c10cb1ba9a3ab924a23253072b393f25000000000000000000000000000000000000000000000000147e02cbdc9c078100000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000,0,29,1654688165,0xa3c59198c10cb1ba9a3ab924a23253072b393f25,18,BNB on Fuse,BNB,0
1376620802426931073,0x541cc2dc70be0514e0ca55686bf83b26686a7862836e795e160e85e98ea95c5c,17450308,223969,0x6acb34b1df86e254b544189ec32cf737e2482058,242854,0x0df48369504825c16d3fc6a74842aef3c91e90e6,279029,10000000000,242854,0xf29fe7c577a0f8856f2a05c8505492cdcae44bacb006f8674ae52a68d96503dc,0x38ed17390000000000000000000000000000000000000000000000161633fd781222612b0000000000000000000000000000000000000000000000001302685314ba0f1b00000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000976c102c3d2108dbeb6620323eb086b62fbc1a030000000000000000000000000000000000000000000000000000000062a08e0100000000000000000000000000000000000000000000000000000000000000040000000000000000000000006a5f6a8121592becd6747a38d67451b310f7f1560000000000000000000000000be9e53fd7edac9f859882afdda116645287c629000000000000000000000000249be57637d8b013ad64785404b24aebae9b098b0000000000000000000000006acb34b1df86e254b544189ec32cf737e2482058,8,27,1654688100,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,18,BNB on Fuse,BNB,0
407428270606398939435,0x541cc2dc70be0514e0ca55686bf83b26686a7862836e795e160e85e98ea95c5c,17450308,223969,0x6a5f6a8121592becd6747a38d67451b310f7f156,242854,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,279029,10000000000,242854,0xf29fe7c577a0f8856f2a05c8505492cdcae44bacb006f8674ae52a68d96503dc,0x38ed17390000000000000000000000000000000000000000000000161633fd781222612b0000000000000000000000000000000000000000000000001302685314ba0f1b00000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000976c102c3d2108dbeb6620323eb086b62fbc1a030000000000000000000000000000000000000000000000000000000062a08e0100000000000000000000000000000000000000000000000000000000000000040000000000000000000000006a5f6a8121592becd6747a38d67451b310f7f1560000000000000000000000000be9e53fd7edac9f859882afdda116645287c629000000000000000000000000249be57637d8b013ad64785404b24aebae9b098b0000000000000000000000006acb34b1df86e254b544189ec32cf737e2482058,0,27,1654688100,0x91520fc2942fd52949514f159aa4927b8850178d,18,Binance USD on Fuse,BUSD,0
100000000000000000,0x900746242ca37128b5deaff54cfb3ec524d6a1182f587cff39c31f13658b98b2,17450287,223990,0x6acb34b1df86e254b544189ec32cf737e2482058,259995,0x0df48369504825c16d3fc6a74842aef3c91e90e6,298182,10000000000,259995,0xf3305f45a99b88f89d35a2f53ac1d41a7ec5eb53bbf448bc80f4ef080bedd57b,0x8803dbee000000000000000000000000000000000000000000000000016345785d8a00000000000000000000000000000000000000000000000000019911d754110868b200000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000976c102c3d2108dbeb6620323eb086b62fbc1a030000000000000000000000000000000000000000000000000000000062a08d9700000000000000000000000000000000000000000000000000000000000000040000000000000000000000006a5f6a8121592becd6747a38d67451b310f7f1560000000000000000000000000be9e53fd7edac9f859882afdda116645287c629000000000000000000000000249be57637d8b013ad64785404b24aebae9b098b0000000000000000000000006acb34b1df86e254b544189ec32cf737e2482058,8,26,1654687995,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,18,BNB on Fuse,BNB,0
29329928151422483027,0x900746242ca37128b5deaff54cfb3ec524d6a1182f587cff39c31f13658b98b2,17450287,223990,0x6a5f6a8121592becd6747a38d67451b310f7f156,259995,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,298182,10000000000,259995,0xf3305f45a99b88f89d35a2f53ac1d41a7ec5eb53bbf448bc80f4ef080bedd57b,0x8803dbee000000000000000000000000000000000000000000000000016345785d8a00000000000000000000000000000000000000000000000000019911d754110868b200000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000976c102c3d2108dbeb6620323eb086b62fbc1a030000000000000000000000000000000000000000000000000000000062a08d9700000000000000000000000000000000000000000000000000000000000000040000000000000000000000006a5f6a8121592becd6747a38d67451b310f7f1560000000000000000000000000be9e53fd7edac9f859882afdda116645287c629000000000000000000000000249be57637d8b013ad64785404b24aebae9b098b0000000000000000000000006acb34b1df86e254b544189ec32cf737e2482058,0,26,1654687995,0x91520fc2942fd52949514f159aa4927b8850178d,18,Binance USD on Fuse,BUSD,0
436758198757821438381,0xe5fd7ab1a0b19bb60c40acbc5bd8c5b3c4fa91f9e0c3e1d8b6a8704ed66423e8,17450261,224016,0x6a5f6a8121592becd6747a38d67451b310f7f156,160064,0x2a68d7c6ea986fa06b2665d08b4d08f5e7af960c,179994,1010000000,160064,0xeae0b4a3f4cdac72c3807ebec9682f5225b9a26566513e31c7df54706de34900,0x9169558600000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a3ddf72000000000000000000000000000000000000000000000017ad3cd3b9e366d9ad0000000000000000000000000000000000000000000000000000000062a08d19,2,24,1654687865,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,18,Binance USD on Fuse,BUSD,0
440262514,0xe5fd7ab1a0b19bb60c40acbc5bd8c5b3c4fa91f9e0c3e1d8b6a8704ed66423e8,17450261,224016,0xfadbbf8ce7d5b7041be672561bba99f79c532e10,160064,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,179994,1010000000,160064,0xeae0b4a3f4cdac72c3807ebec9682f5225b9a26566513e31c7df54706de34900,0x9169558600000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a3ddf72000000000000000000000000000000000000000000000017ad3cd3b9e366d9ad0000000000000000000000000000000000000000000000000000000062a08d19,0,24,1654687865,0x2a68d7c6ea986fa06b2665d08b4d08f5e7af960c,6,Tether USD on Fuse,USDT,0
4736285183724245204505,0x7d34328da6062a5f50bf7cfa86d18d86c1bb8904b9871bfda93a2134fd83c9f6,17450245,224032,0x2c43dbef81aba6b95799fd2aec738cd721ba77f3,638526,0x0000000000000000000000000000000000000000,1017489,1010000000,638526,0xb0b00e6a0019b94f6c79544a89c0c3697072343ad3be55a1ac69f908ff0e1666,0x42220f34,4,23,1654687785,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,18,Moo Fuse,mooFuse,0
626237486,0x36f0c5e1ce3332521404db0dfcf29aa6406727987f058a800fa93b807b08b584,17450207,224070,0xfadbbf8ce7d5b7041be672561bba99f79c532e10,127803,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,167623,10000000000,127803,0x0020f2f4c360b0ebdcc419d1f4e60309a7040110159e73d80f4e666f54bcae79,0x4a25d94a00000000000000000000000000000000000000000000011478b7c30abc300000000000000000000000000000000000000000000000000000000000002583676100000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000976c102c3d2108dbeb6620323eb086b62fbc1a030000000000000000000000000000000000000000000000000000000062a08c070000000000000000000000000000000000000000000000000000000000000002000000000000000000000000fadbbf8ce7d5b7041be672561bba99f79c532e100000000000000000000000000be9e53fd7edac9f859882afdda116645287c629,0,21,1654687595,0xca4df49cb6cfcab122b09f2c203820032005385e,6,Tether USD on Fuse,USDT,0
1066500000,0xb655f59fc7a4baf08d51fc6222484112bedb419f57234d9679909387f0cf409a,17449587,224690,0xfadbbf8ce7d5b7041be672561bba99f79c532e10,603663,0x6a357a665f5cd28124e830a71856a72ca9434934,90859,1010000000,60096,0xf20056866ae42f350fa75795fba1a4eace1642954980c3589cc519a1d937e841,0xa9059cbb000000000000000000000000976c102c3d2108dbeb6620323eb086b62fbc1a03000000000000000000000000000000000000000000000000000000003f917fa0,0,8,1654684495,0x976c102c3d2108dbeb6620323eb086b62fbc1a03,6,Tether USD on Fuse,USDT,7
